name	min_sharpe	mean_return	gap	meets_target
hybrid c0.990 s17 w0.7 cost10	0.3350	0.1720	0.1730	False
hybrid c0.990 s18 w0.3 cost5	0.3861	0.1905	0.1139	False
hybrid c0.990 s18 w0.3 cost10	0.3307	0.1733	0.1760	False
hybrid c0.990 s18 w0.4 cost5	0.3861	0.1905	0.1139	False
hybrid c0.990 s18 w0.4 cost10	0.3307	0.1733	0.1760	False
hybrid c0.990 s18 w0.5 cost5	0.3861	0.1905	0.1139	False
hybrid c0.990 s18 w0.5 cost10	0.3307	0.1733	0.1760	False
hybrid c0.990 s18 w0.6 cost5	0.3861	0.1905	0.1139	False
hybrid c0.990 s18 w0.6 cost10	0.3307	0.1733	0.1760	False
hybrid c0.990 s18 w0.7 cost5	0.3861	0.1905	0.1139	False
hybrid c0.990 s18 w0.7 cost10	0.3307	0.1733	0.1760	False
hybrid c0.990 s19 w0.3 cost5	0.3538	0.1907	0.1462	False
hybrid c0.990 s19 w0.3 cost10	0.3013	0.1743	0.2044	False
hybrid c0.990 s19 w0.4 cost5	0.3538	0.1907	0.1462	False
hybrid c0.990 s19 w0.4 cost10	0.3013	0.1743	0.2044	False
hybrid c0.990 s19 w0.5 cost5	0.3538	0.1907	0.1462	False
hybrid c0.990 s19 w0.5 cost10	0.3013	0.1743	0.2044	False
hybrid c0.990 s19 w0.6 cost5	0.3538	0.1907	0.1462	False
hybrid c0.990 s19 w0.6 cost10	0.3013	0.1743	0.2044	False
hybrid c0.990 s19 w0.7 cost5	0.3538	0.1907	0.1462	False
hybrid c0.990 s19 w0.7 cost10	0.3013	0.1743	0.2044	False
hybrid c0.990 s20 w0.3 cost5	0.3310	0.1887	0.1690	False
hybrid c0.990 s20 w0.3 cost10	0.2811	0.1730	0.2258	False
hybrid c0.990 s20 w0.4 cost5	0.3310	0.1887	0.1690	False
hybrid c0.990 s20 w0.4 cost10	0.2811	0.1730	0.2258	False
hybrid c0.990 s20 w0.5 cost5	0.3310	0.1887	0.1690	False
hybrid c0.990 s20 w0.5 cost10	0.2811	0.1730	0.2258	False
hybrid c0.990 s20 w0.6 cost5	0.3310	0.1887	0.1690	False
hybrid c0.990 s20 w0.6 cost10	0.2811	0.1730	0.2258	False
hybrid c0.990 s20 w0.7 cost5	0.3310	0.1887	0.1690	False
hybrid c0.990 s20 w0.7 cost10	0.2811	0.1730	0.2258	False
hybrid c0.990 s21 w0.3 cost5	0.3151	0.1889	0.1849	False
hybrid c0.990 s21 w0.3 cost10	0.2675	0.1738	0.2387	False
hybrid c0.990 s21 w0.4 cost5	0.3151	0.1889	0.1849	False
