name	holdout_sharpe	holdout_ann	holdout_dd	composite	alpha_inf	beats_raw
regime mom_resid_vol sm20 w0.25 cg0.95 cb0.75 mn0.25 neu0.55 boostmid+low	0.5576	0.0368	-0.0925	0.6637	1.0000	False
regime mom_resid_vol sm20 w0.25 cg0.95 cb0.75 mn0.25 neu0.55 boostmid	0.5828	0.0379	-0.0891	0.6875	1.0000	False
regime mom_resid_vol sm20 w0.25 cg0.95 cb0.75 mn0.25 neu0.70 boostmid+low	0.5576	0.0368	-0.0925	0.6637	1.0000	False
regime mom_resid_vol sm20 w0.25 cg0.95 cb0.75 mn0.25 neu0.70 boostmid	0.5828	0.0379	-0.0891	0.6875	1.0000	False
regime mom_resid_vol sm20 w0.25 cg0.95 cb0.75 mn0.35 neu0.55 boostmid+low	0.7242	0.0499	-0.0916	0.8427	1.0000	False
regime mom_resid_vol sm20 w0.25 cg0.95 cb0.75 mn0.35 neu0.55 boostmid	0.7501	0.0510	-0.0890	0.8678	1.0000	False
regime mom_resid_vol sm20 w0.25 cg0.95 cb0.75 mn0.35 neu0.70 boostmid+low	0.7326	0.0505	-0.0914	0.8517	1.0000	False
regime mom_resid_vol sm20 w0.25 cg0.95 cb0.75 mn0.35 neu0.70 boostmid	0.7586	0.0517	-0.0887	0.8768	1.0000	False
regime mom_resid_vol sm20 w0.40 cg1.00 cb0.85 mn0.25 neu0.55 boostmid+low	0.1312	0.0064	-0.1043	0.2159	1.0000	False
regime mom_resid_vol sm20 w0.40 cg1.00 cb0.85 mn0.25 neu0.55 boostmid	0.1576	0.0080	-0.1003	0.2409	1.0000	False
regime mom_resid_vol sm20 w0.40 cg1.00 cb0.85 mn0.25 neu0.70 boostmid+low	0.1312	0.0064	-0.1043	0.2159	1.0000	False
regime mom_resid_vol sm20 w0.40 cg1.00 cb0.85 mn0.25 neu0.70 boostmid	0.1576	0.0080	-0.1003	0.2409	1.0000	False
regime mom_resid_vol sm20 w0.40 cg1.00 cb0.85 mn0.35 neu0.55 boostmid+low	0.3402	0.0206	-0.1006	0.4362	1.0000	False
regime mom_resid_vol sm20 w0.40 cg1.00 cb0.85 mn0.35 neu0.55 boostmid	0.3669	0.0221	-0.0970	0.4617	1.0000	False
regime mom_resid_vol sm20 w0.40 cg1.00 cb0.85 mn0.35 neu0.70 boostmid+low	0.3489	0.0212	-0.1004	0.4453	1.0000	False
regime mom_resid_vol sm20 w0.40 cg1.00 cb0.85 mn0.35 neu0.70 boostmid	0.3757	0.0227	-0.0967	0.4709	1.0000	False
regime mom_resid_vol sm20 w0.40 cg1.05 cb0.80 mn0.25 neu0.55 boostmid+low	0.2689	0.0151	-0.0949	0.3552	1.0000	False
regime mom_resid_vol sm20 w0.40 cg1.05 cb0.80 mn0.25 neu0.55 boostmid	0.2953	0.0165	-0.0913	0.3803	1.0000	False
